Gene stable ID	Transcript stable ID	Gene stable ID	Transcript stable ID
AT1G63140	AT1G63140.1	Os04g0175600	Os04t0175600-01
AT1G21130	AT1G21130.2	Os04g0175900	Os04t0175900-01
AT1G21130	AT1G21130.2	Os04g0175600	Os04t0175600-01
AT1G21130	AT1G21130.1	Os04g0175900	Os04t0175900-01
AT1G21130	AT1G21130.1	Os04g0175600	Os04t0175600-01
AT1G67090	AT1G67090.2	Os12g0291200	Os12t0291200-00
AT1G67090	AT1G67090.1	Os12g0291200	Os12t0291200-00
AT1G05830	AT1G05830.2	Os09g0134500	Os09t0134500-02
AT1G05830	AT1G05830.2	Os09g0134500	Os09t0134500-01
AT1G05830	AT1G05830.4	Os09g0134500	Os09t0134500-02
AT1G05830	AT1G05830.4	Os09g0134500	Os09t0134500-01
AT1G05830	AT1G05830.1	Os09g0134500	Os09t0134500-02
AT1G05830	AT1G05830.1	Os09g0134500	Os09t0134500-01
AT1G05830	AT1G05830.3	Os09g0134500	Os09t0134500-02
AT1G05830	AT1G05830.3	Os09g0134500	Os09t0134500-01
AT2G22590	AT2G22590.1	Os11g0202500	Os11t0202500-00
AT3G23770	AT3G23770.1	Os09g0502200	Os09t0502200-01
AT4G22300	AT4G22300.1	Os04g0669500	Os04t0669500-01
AT2G36870	AT2G36870.1	Os10g0545500	Os10t0545500-00
AT2G36870	AT2G36870.2	Os10g0545500	Os10t0545500-00
AT1G28370	AT1G28370.2	Os01g0797600	Os01t0797600-01
AT1G28370	AT1G28370.1	Os01g0797600	Os01t0797600-01
AT3G11340	AT3G11340.1	Os07g0240600	Os07t0240600-01
AT3G22830	AT3G22830.1	Os10g0419300	Os10t0419300-02
AT3G22830	AT3G22830.1	Os10g0419300	Os10t0419300-01
AT5G59580	AT5G59580.1	Os07g0240600	Os07t0240600-01
AT2G02570	AT2G02570.1	Os08g0109900	Os08t0109900-01
AT2G02570	AT2G02570.3	Os08g0109900	Os08t0109900-01
AT2G02570	AT2G02570.4	Os08g0109900	Os08t0109900-01
AT2G02570	AT2G02570.2	Os08g0109900	Os08t0109900-01
AT5G05880	AT5G05880.1	Os07g0240600	Os07t0240600-01
AT2G40790	AT2G40790.1	Os01g0168200	Os01t0168200-01
AT2G40790	AT2G40790.2	Os01g0168200	Os01t0168200-01
AT1G21120	AT1G21120.1	Os04g0175900	Os04t0175900-01
AT1G21120	AT1G21120.1	Os04g0175600	Os04t0175600-01
AT1G21120	AT1G21120.2	Os04g0175900	Os04t0175900-01
AT1G21120	AT1G21120.2	Os04g0175600	Os04t0175600-01
AT3G46680	AT3G46680.1	Os07g0240600	Os07t0240600-01
AT2G31650	AT2G31650.1	Os09g0134500	Os09t0134500-02
AT2G31650	AT2G31650.1	Os09g0134500	Os09t0134500-01
AT5G38050	AT5G38050.1	Os01g0507500	Os01t0507500-01
AT3G51670	AT3G51670.1	Os05g0345100	Os05t0345100-00
AT3G18480	AT3G18480.1	Os03g0710900	Os03t0710900-00
AT2G26480	AT2G26480.1	Os07g0240600	Os07t0240600-01
AT3G63350	AT3G63350.1	Os10g0419300	Os10t0419300-02
AT3G63350	AT3G63350.1	Os10g0419300	Os10t0419300-01
AT5G38010	AT5G38010.1	Os07g0240600	Os07t0240600-01
AT5G38410	AT5G38410.2	Os12g0291200	Os12t0291200-00
AT5G38410	AT5G38410.1	Os12g0291200	Os12t0291200-00
AT5G38410	AT5G38410.3	Os12g0291200	Os12t0291200-00
AT3G10020	AT3G10020.2	Os12g0147200	Os12t0147200-01
AT3G10020	AT3G10020.1	Os12g0147200	Os12t0147200-01
AT5G16630	AT5G16630.3	Os08g0427500	Os08t0427500-01
AT5G16630	AT5G16630.2	Os08g0427500	Os08t0427500-01
AT5G16630	AT5G16630.1	Os08g0427500	Os08t0427500-01
AT3G51910	AT3G51910.1	Os10g0419300	Os10t0419300-02
AT3G51910	AT3G51910.1	Os10g0419300	Os10t0419300-01
AT3G56420	AT3G56420.3	Os01g0168200	Os01t0168200-01
AT3G56420	AT3G56420.2	Os01g0168200	Os01t0168200-01
AT3G56420	AT3G56420.1	Os01g0168200	Os01t0168200-01
AT1G78230	AT1G78230.1	Os03g0190300	Os03t0190300-00
AT2G22400	AT2G22400.1	Os08g0484400	Os08t0484400-01
AT3G46720	AT3G46720.1	Os07g0240600	Os07t0240600-01
AT4G40000	AT4G40000.1	Os08g0484400	Os08t0484400-01
AT4G40000	AT4G40000.2	Os08g0484400	Os08t0484400-01
AT3G46690	AT3G46690.1	Os07g0240600	Os07t0240600-01
AT5G05890	AT5G05890.1	Os07g0240600	Os07t0240600-01
AT5G06839	AT5G06839.2	Os09g0489500	Os09t0489500-02
AT5G06839	AT5G06839.2	Os09g0489500	Os09t0489500-01
AT5G06839	AT5G06839.3	Os09g0489500	Os09t0489500-02
AT5G06839	AT5G06839.3	Os09g0489500	Os09t0489500-01
AT5G06839	AT5G06839.1	Os09g0489500	Os09t0489500-02
AT5G06839	AT5G06839.1	Os09g0489500	Os09t0489500-01
AT5G59590	AT5G59590.1	Os07g0240600	Os07t0240600-01
AT5G57360	AT5G57360.2	Os02g0150800	Os02t0150800-01
AT5G57360	AT5G57360.1	Os02g0150800	Os02t0150800-01
AT1G71080	AT1G71080.1	Os01g0507500	Os01t0507500-01
AT4G29450	AT4G29450.1	Os09g0351700	Os09t0351700-00
AT4G25480	AT4G25480.1	Os02g0677300	Os02t0677300-02
AT3G18640	AT3G18640.2	Os08g0135800	Os08t0135800-04
AT3G18640	AT3G18640.2	Os08g0135800	Os08t0135800-02
AT3G18640	AT3G18640.2	Os08g0135800	Os08t0135800-01
AT3G18640	AT3G18640.2	Os08g0135800	Os08t0135800-03
AT3G18640	AT3G18640.1	Os08g0135800	Os08t0135800-04
AT3G18640	AT3G18640.1	Os08g0135800	Os08t0135800-02
AT3G18640	AT3G18640.1	Os08g0135800	Os08t0135800-01
AT3G18640	AT3G18640.1	Os08g0135800	Os08t0135800-03
AT3G18640	AT3G18640.3	Os08g0135800	Os08t0135800-04
AT3G18640	AT3G18640.3	Os08g0135800	Os08t0135800-02
AT3G18640	AT3G18640.3	Os08g0135800	Os08t0135800-01
AT3G18640	AT3G18640.3	Os08g0135800	Os08t0135800-03
AT1G79050	AT1G79050.1	Os03g0639700	Os03t0639700-01
AT1G79050	AT1G79050.2	Os03g0639700	Os03t0639700-01
AT1G69530	AT1G69530.4	Os03g0377100	Os03t0377100-01
AT1G69530	AT1G69530.1	Os03g0377100	Os03t0377100-01
AT1G69530	AT1G69530.3	Os03g0377100	Os03t0377100-01
AT1G69530	AT1G69530.5	Os03g0377100	Os03t0377100-01
AT1G69530	AT1G69530.2	Os03g0377100	Os03t0377100-01
AT2G28680	AT2G28680.1	Os01g0976200	Os01t0976200-01
AT2G37790	AT2G37790.1	Os01g0847600	Os01t0847600-01
AT2G19190	AT2G19190.1	Os09g0351700	Os09t0351700-00
AT1G23900	AT1G23900.2	Os06g0167100	Os06t0167100-01
AT1G23900	AT1G23900.1	Os06g0167100	Os06t0167100-01
AT1G23900	AT1G23900.3	Os06g0167100	Os06t0167100-01
AT4G28630	AT4G28630.1	Os06g0128300	Os06t0128300-01
AT4G28630	AT4G28630.1	Os06g0128300	Os06t0128300-03
AT4G28630	AT4G28630.1	Os06g0128300	Os06t0128300-02
AT1G29500	AT1G29500.1	Os08g0550700	Os08t0550700-00
AT3G45720	AT3G45720.1	Os05g0338900	Os05t0338900-00
AT3G13840	AT3G13840.1	Os03g0408600	Os03t0408600-01
AT5G23420	AT5G23420.1	Os08g0101100	Os08t0101100-01
AT5G23420	AT5G23420.2	Os08g0101100	Os08t0101100-01
AT2G32510	AT2G32510.1	Os05g0545300	Os05t0545300-01
AT1G29420	AT1G29420.2	Os08g0550700	Os08t0550700-00
AT1G29420	AT1G29420.1	Os08g0550700	Os08t0550700-00
AT3G10890	AT3G10890.1	Os01g0663300	Os01t0663300-01
AT2G19520	AT2G19520.1	Os01g0710000	Os01t0710000-01
AT3G14950	AT3G14950.1	Os01g0218200	Os01t0218200-00
AT1G26770	AT1G26770.1	Os03g0377100	Os03t0377100-01
AT1G26770	AT1G26770.2	Os03g0377100	Os03t0377100-01
AT4G25490	AT4G25490.1	Os02g0677300	Os02t0677300-02
AT2G18980	AT2G18980.1	Os04g0656800	Os04t0656800-01
AT1G08790	AT1G08790.1	Os04g0282200	Os04t0282200-01
AT1G34460	AT1G34460.9	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.2	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.6	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.3	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.4	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.8	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.5	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.7	Os01g0281200	Os01t0281200-01
AT1G34460	AT1G34460.1	Os01g0281200	Os01t0281200-01
AT2G35700	AT2G35700.1	Os04g0550200	Os04t0550200-01
AT3G14380	AT3G14380.1	Os04g0281900	Os04t0281900-01
AT3G14380	AT3G14380.1	Os04g0281900	Os04t0281900-02
AT4G14750	AT4G14750.2	Os03g0636700	Os03t0636700-00
AT4G14750	AT4G14750.1	Os03g0636700	Os03t0636700-00
AT4G14750	AT4G14750.3	Os03g0636700	Os03t0636700-00
AT3G23400	AT3G23400.2	Os11g0595200	Os11t0595200-01
AT3G23400	AT3G23400.4	Os11g0595200	Os11t0595200-01
AT3G23400	AT3G23400.3	Os11g0595200	Os11t0595200-01
AT3G23400	AT3G23400.1	Os11g0595200	Os11t0595200-01
AT1G13570	AT1G13570.2	Os08g0460900	Os08t0460900-00
AT1G13570	AT1G13570.1	Os08g0460900	Os08t0460900-00
AT1G13570	AT1G13570.3	Os08g0460900	Os08t0460900-00
AT1G56145	AT1G56145.2	Os04g0616600	Os04t0616600-01
AT1G56145	AT1G56145.2	Os08g0203201	Os08t0203201-00
AT1G56145	AT1G56145.3	Os04g0616600	Os04t0616600-01
AT1G56145	AT1G56145.3	Os08g0203201	Os08t0203201-00
AT1G56145	AT1G56145.1	Os04g0616600	Os04t0616600-01
AT1G56145	AT1G56145.1	Os08g0203201	Os08t0203201-00
AT1G29490	AT1G29490.1	Os08g0550700	Os08t0550700-00
AT1G73010	AT1G73010.1	Os01g0720400	Os01t0720400-01
AT4G26890	AT4G26890.1	Os05g0545300	Os05t0545300-01
AT5G23405	AT5G23405.3	Os08g0101100	Os08t0101100-01
AT5G23405	AT5G23405.1	Os08g0101100	Os08t0101100-01
AT5G23405	AT5G23405.2	Os08g0101100	Os08t0101100-01
AT5G50470	AT5G50470.1	Os05g0304800	Os05t0304800-01
AT1G29460	AT1G29460.2	Os08g0550700	Os08t0550700-00
AT1G29460	AT1G29460.1	Os08g0550700	Os08t0550700-00
AT5G06150	AT5G06150.2	Os01g0281200	Os01t0281200-01
AT5G06150	AT5G06150.1	Os01g0281200	Os01t0281200-01
AT1G29450	AT1G29450.1	Os08g0550700	Os08t0550700-00
AT1G29450	AT1G29450.2	Os08g0550700	Os08t0550700-00
AT1G03800	AT1G03800.1	Os01g0797600	Os01t0797600-01
AT5G58270	AT5G58270.1	Os06g0128300	Os06t0128300-01
AT5G58270	AT5G58270.1	Os06g0128300	Os06t0128300-03
AT5G58270	AT5G58270.1	Os06g0128300	Os06t0128300-02
AT1G52340	AT1G52340.1	Os03g0810800	Os03t0810800-01
AT1G17200	AT1G17200.2	Os04g0281900	Os04t0281900-01
AT1G17200	AT1G17200.2	Os04g0281900	Os04t0281900-02
AT1G17200	AT1G17200.1	Os04g0281900	Os04t0281900-01
AT1G17200	AT1G17200.1	Os04g0281900	Os04t0281900-02
AT5G20830	AT5G20830.1	Os06g0194900	Os06t0194900-03
AT5G20830	AT5G20830.1	Os06g0194900	Os06t0194900-01
AT5G20830	AT5G20830.1	Os06g0194900	Os06t0194900-04
AT5G20830	AT5G20830.1	Os06g0194900	Os06t0194900-02
AT5G20830	AT5G20830.2	Os06g0194900	Os06t0194900-03
AT5G20830	AT5G20830.2	Os06g0194900	Os06t0194900-01
AT5G20830	AT5G20830.2	Os06g0194900	Os06t0194900-04
AT5G20830	AT5G20830.2	Os06g0194900	Os06t0194900-02
AT5G20830	AT5G20830.3	Os06g0194900	Os06t0194900-03
AT5G20830	AT5G20830.3	Os06g0194900	Os06t0194900-01
AT5G20830	AT5G20830.3	Os06g0194900	Os06t0194900-04
AT5G20830	AT5G20830.3	Os06g0194900	Os06t0194900-02
AT5G51990	AT5G51990.1	Os02g0677300	Os02t0677300-02
AT1G72140	AT1G72140.1	Os08g0527700	Os08t0527700-00
AT2G31610	AT2G31610.1	Os03g0577000	Os03t0577000-01
AT1G14750	AT1G14750.1	Os03g0225200	Os03t0225200-01
AT1G14750	AT1G14750.1	Os03g0225200	Os03t0225200-02
AT1G14750	AT1G14750.4	Os03g0225200	Os03t0225200-01
AT1G14750	AT1G14750.4	Os03g0225200	Os03t0225200-02
AT1G14750	AT1G14750.3	Os03g0225200	Os03t0225200-01
AT1G14750	AT1G14750.3	Os03g0225200	Os03t0225200-02
AT1G14750	AT1G14750.2	Os03g0225200	Os03t0225200-01
AT1G14750	AT1G14750.2	Os03g0225200	Os03t0225200-02
AT1G08420	AT1G08420.2	Os12g0617900	Os12t0617900-03
AT1G08420	AT1G08420.2	Os12g0617900	Os12t0617900-01
AT1G08420	AT1G08420.2	Os12g0617900	Os12t0617900-02
AT1G08420	AT1G08420.1	Os12g0617900	Os12t0617900-03
AT1G08420	AT1G08420.1	Os12g0617900	Os12t0617900-01
AT1G08420	AT1G08420.1	Os12g0617900	Os12t0617900-02
AT3G02380	AT3G02380.1	Os09g0240200	Os09t0240200-01
AT5G26200	AT5G26200.1	Os10g0397800	Os10t0397800-00
AT5G20740	AT5G20740.2	Os10g0508700	Os10t0508700-01
AT5G20740	AT5G20740.1	Os10g0508700	Os10t0508700-01
AT1G56130	AT1G56130.1	Os04g0616600	Os04t0616600-01
AT1G56130	AT1G56130.1	Os08g0203201	Os08t0203201-00
AT1G56130	AT1G56130.3	Os04g0616600	Os04t0616600-01
AT1G56130	AT1G56130.3	Os08g0203201	Os08t0203201-00
AT1G56130	AT1G56130.2	Os04g0616600	Os04t0616600-01
AT1G56130	AT1G56130.2	Os08g0203201	Os08t0203201-00
AT5G55090	AT5G55090.1	Os05g0545300	Os05t0545300-01
AT5G55090	AT5G55090.2	Os05g0545300	Os05t0545300-01
AT3G01840	AT3G01840.1	Os08g0376600	Os08t0376600-01
AT2G37760	AT2G37760.4	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.6	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.2	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.5	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.3	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.1	Os01g0847600	Os01t0847600-01
AT2G37760	AT2G37760.7	Os01g0847600	Os01t0847600-01
AT5G50480	AT5G50480.1	Os05g0304800	Os05t0304800-01
AT4G38400	AT4G38400.1	Os07g0475400	Os07t0475400-01
AT2G32030	AT2G32030.1	Os03g0664800	Os03t0664800-01
AT4G28706	AT4G28706.4	Os08g0566400	Os08t0566400-01
AT4G28706	AT4G28706.4	Os08g0566400	Os08t0566400-02
AT4G28706	AT4G28706.1	Os08g0566400	Os08t0566400-01
AT4G28706	AT4G28706.1	Os08g0566400	Os08t0566400-02
AT4G28706	AT4G28706.3	Os08g0566400	Os08t0566400-01
AT4G28706	AT4G28706.3	Os08g0566400	Os08t0566400-02
AT4G28706	AT4G28706.2	Os08g0566400	Os08t0566400-01
AT4G28706	AT4G28706.2	Os08g0566400	Os08t0566400-02
AT3G45690	AT3G45690.1	Os05g0338900	Os05t0338900-00
AT1G60360	AT1G60360.1	Os02g0767600	Os02t0767600-00
AT3G59820	AT3G59820.3	Os04g0496800	Os04t0496800-01
AT3G59820	AT3G59820.4	Os04g0496800	Os04t0496800-01
AT3G59820	AT3G59820.2	Os04g0496800	Os04t0496800-01
AT3G59820	AT3G59820.1	Os04g0496800	Os04t0496800-01
AT5G23230	AT5G23230.1	Os04g0525800	Os04t0525800-00
AT1G68180	AT1G68180.1	Os02g0767600	Os02t0767600-00
AT2G01290	AT2G01290.1	Os04g0306400	Os04t0306400-01
AT1G22540	AT1G22540.1	Os08g0527700	Os08t0527700-00
AT5G65860	AT5G65860.2	Os03g0761200	Os03t0761200-01
AT5G65860	AT5G65860.1	Os03g0761200	Os03t0761200-01
AT5G65860	AT5G65860.3	Os03g0761200	Os03t0761200-01
AT2G03280	AT2G03280.2	Os03g0169000	Os03t0169000-01
AT2G03280	AT2G03280.2	Os03g0169000	Os03t0169000-02
AT2G03280	AT2G03280.1	Os03g0169000	Os03t0169000-01
AT2G03280	AT2G03280.1	Os03g0169000	Os03t0169000-02
AT3G20530	AT3G20530.1	Os09g0572600	Os09t0572600-01
AT3G20530	AT3G20530.2	Os09g0572600	Os09t0572600-01
AT5G50490	AT5G50490.1	Os05g0304800	Os05t0304800-01
AT2G26540	AT2G26540.1	Os03g0186100	Os03t0186100-01
AT2G26540	AT2G26540.2	Os03g0186100	Os03t0186100-01
AT2G26540	AT2G26540.3	Os03g0186100	Os03t0186100-01
AT2G26730	AT2G26730.1	Os01g0607900	Os01t0607900-01
AT3G45680	AT3G45680.1	Os05g0338900	Os05t0338900-00
AT5G25350	AT5G25350.1	Os02g0200900	Os02t0200900-04
AT5G25350	AT5G25350.1	Os02g0200900	Os02t0200900-02
AT5G25350	AT5G25350.1	Os02g0200900	Os02t0200900-03
AT5G25350	AT5G25350.1	Os02g0200900	Os02t0200900-01
AT1G17710	AT1G17710.1	Os01g0720400	Os01t0720400-01
AT1G17710	AT1G17710.2	Os01g0720400	Os01t0720400-01
AT4G29180	AT4G29180.3	Os09g0351700	Os09t0351700-00
AT4G29180	AT4G29180.1	Os09g0351700	Os09t0351700-00
AT4G29180	AT4G29180.2	Os09g0351700	Os09t0351700-00
AT5G66460	AT5G66460.1	Os01g0663300	Os01t0663300-01
AT1G63160	AT1G63160.1	Os04g0569000	Os04t0569000-01
AT4G25470	AT4G25470.1	Os02g0677300	Os02t0677300-02
AT5G38140	AT5G38140.1	Os05g0304800	Os05t0304800-01
AT1G24040	AT1G24040.3	Os04g0465500	Os04t0465500-02
AT1G24040	AT1G24040.2	Os04g0465500	Os04t0465500-02
AT1G24040	AT1G24040.1	Os04g0465500	Os04t0465500-02
AT4G30960	AT4G30960.1	Os09g0418500	Os09t0418500-00
AT3G29030	AT3G29030.1	Os03g0377100	Os03t0377100-01
AT2G35210	AT2G35210.1	Os03g0854100	Os03t0854100-01
AT2G35210	AT2G35210.1	Os03g0854100	Os03t0854100-02
AT2G35210	AT2G35210.2	Os03g0854100	Os03t0854100-01
AT2G35210	AT2G35210.2	Os03g0854100	Os03t0854100-02
AT5G15850	AT5G15850.1	Os09g0240200	Os09t0240200-01
AT4G14820	AT4G14820.1	Os04g0221300	Os04t0221300-02
AT4G14820	AT4G14820.1	Os04g0221300	Os04t0221300-01
AT4G26480	AT4G26480.1	Os02g0722700	Os02t0722700-01
AT4G26480	AT4G26480.2	Os02g0722700	Os02t0722700-01
AT4G26480	AT4G26480.3	Os02g0722700	Os02t0722700-01
AT1G10640	AT1G10640.1	Os01g0637500	Os01t0637500-00
AT1G51790	AT1G51790.2	Os09g0351700	Os09t0351700-00
AT1G51790	AT1G51790.3	Os09g0351700	Os09t0351700-00
AT1G51790	AT1G51790.1	Os09g0351700	Os09t0351700-00
AT1G05350	AT1G05350.1	Os02g0506500	Os02t0506500-01
AT1G05350	AT1G05350.1	Os02g0506500	Os02t0506500-03
AT1G05350	AT1G05350.1	Os02g0506500	Os02t0506500-04
AT1G05350	AT1G05350.1	Os02g0506500	Os02t0506500-02
AT1G14020	AT1G14020.1	Os03g0169000	Os03t0169000-01
AT1G14020	AT1G14020.1	Os03g0169000	Os03t0169000-02
AT1G65540	AT1G65540.1	Os04g0496800	Os04t0496800-01
AT1G65540	AT1G65540.2	Os04g0496800	Os04t0496800-01
AT1G65540	AT1G65540.3	Os04g0496800	Os04t0496800-01
AT1G72130	AT1G72130.3	Os08g0527700	Os08t0527700-00
AT1G72130	AT1G72130.1	Os08g0527700	Os08t0527700-00
AT1G72130	AT1G72130.2	Os08g0527700	Os08t0527700-00
AT1G62050	AT1G62050.1	Os07g0512100	Os07t0512100-01
AT2G31440	AT2G31440.2	Os02g0272600	Os02t0272600-02
AT2G31440	AT2G31440.2	Os02g0272600	Os02t0272600-01
AT2G31440	AT2G31440.1	Os02g0272600	Os02t0272600-02
AT2G31440	AT2G31440.1	Os02g0272600	Os02t0272600-01
AT1G52870	AT1G52870.1	Os09g0315000	Os09t0315000-01
AT1G52870	AT1G52870.2	Os09g0315000	Os09t0315000-01
AT2G32130	AT2G32130.1	Os01g0203800	Os01t0203800-01
AT2G32130	AT2G32130.1	Os01g0203800	Os01t0203800-02
AT1G56140	AT1G56140.1	Os04g0616600	Os04t0616600-01
AT1G56140	AT1G56140.1	Os08g0203201	Os08t0203201-00
AT1G21980	AT1G21980.1	Os03g0705300	Os03t0705300-02
AT1G21980	AT1G21980.1	Os03g0705300	Os03t0705300-01
AT2G37770	AT2G37770.2	Os01g0847600	Os01t0847600-01
AT2G37770	AT2G37770.1	Os01g0847600	Os01t0847600-01
AT1G32340	AT1G32340.1	Os04g0593600	Os04t0593600-01
